"","Var.1","Date","Town","State.Province","Latitude","Longitude","Number","Image"
"183",183,"05/11/05","Champlain","NY",45,-73.4,1,NA
"184",184,"05/11/05","Deer River","MN",47.5,-94,1,NA
"185",185,"05/11/05","St Gerard des Laurentides","QC",46.6,-72.8,1,NA
"186",186,"05/11/05","Burlington","WI",42.7,-88.3,1,NA
"187",187,"05/11/05","Johnstown","NY",43,-74.4,1,NA
"188",188,"05/10/05","Clayton","WI",45.3,-92.1,1,NA
"189",189,"05/10/05","Cumberland","ON",45.3,-75.2,1,NA
"190",190,"05/10/05","SPARTA","NJ",41,-74.6,1,NA
"191",191,"05/10/05","Ottawa","ON",45.2,-75.5,1,NA
"192",192,"05/10/05","Burlington","ON",43.2,-79.5,1,NA
"193",193,"05/10/05","Ellenville","NY",41.7,-74.5,1,NA
"194",194,"05/10/05","Hayward","WI",46,-91.3,1,NA
"195",195,"05/10/05","Minoa","NY",43.1,-76,1,NA
"196",196,"05/10/05","Eden","VT",44.7,-72.6,1,NA
"197",197,"05/10/05","Ludlow","VT",43.4,-72.7,1,NA
"198",198,"05/10/05","Norway","ME",44.2,-70.6,1,NA
"199",199,"05/10/05","Pittsford","VT",43.8,-73,1,NA
"200",200,"05/10/05","Chesterville","ME",44.6,-70.1,1,NA
"201",201,"05/10/05","Carroll","IA",42.1,-94.9,1,NA
"202",202,"05/10/05","Garrison","NE",41.2,-97.2,1,NA
"203",203,"05/10/05","Springfield","VT",43.3,-72.5,1,NA
"204",204,"05/10/05","Vasey","ON",44.4,-79.5,1,NA
"205",205,"05/10/05","Oakland","ME",44.5,-69.8,1,NA
"206",206,"05/10/05","Wasaga Beach","ON",44.3,-80,1,NA
"207",207,"05/10/05","Ridgeway","ON",42.5,-79,1,NA
"208",208,"05/10/05","Williamstown","VT",44.1,-72.5,1,NA
"209",209,"05/10/05","Wallaceburg","ON",42.4,-82.2,1,NA
"210",210,"05/10/05","Dunchurch","ON",45.4,-79.5,1,NA
"211",211,"05/10/05","Knoxville","IA",41.3,-93.1,1,NA
"212",212,"05/10/05","Ascutney","VT",43.4,-72.4,1,NA
"213",213,"05/10/05","St.Albans","VT",44.8,-73.1,1,NA
"214",214,"05/10/05","Saint-Georges de Beauce","QC",46,-70.7,1,NA
"215",215,"05/10/05","Arundel","ME",43.4,-70.5,1,NA
"216",216,"05/10/05","Plattsmouth","NE",41,-96,1,NA
"217",217,"05/10/05","Oro Station","ON",44.3,-79.3,1,NA
"218",218,"05/10/05","St. Paul","MN",45,-93.1,1,NA
"219",219,"05/10/05","Woodland Beach","ON",44.4,-80,1,NA
"220",220,"05/10/05","Rawdon","QC",46,-73.4,1,NA
"221",221,"05/10/05","Seymour","TX",33.6,-99.2,1,NA
"222",222,"05/10/05","Toledo","ON",44.7,-76,1,NA
"223",223,"05/10/05","Corbeil","ON",46.2,-79.2,1,NA
"224",224,"05/09/05","Wells","NY",43.5,-74.3,1,NA
"225",225,"05/09/05","Gravenhurst","ON",44.6,-79.2,1,NA
"226",226,"05/09/05","Russell","PA",41.9,-79.1,1,NA
"227",227,"05/09/05","Clifford","ND",47.4,-97.4,1,NA
"228",228,"05/09/05","Spirit  Lake","IA",43.4,-95.1,1,NA
"229",229,"05/09/05","Antigo","WI",45.1,-89.2,1,NA
"230",230,"05/09/05","DeLancey","NY",42.2,-74.9,1,NA
"231",231,"05/09/05","Bay City","MI",43.6,-84,1,NA
"232",232,"05/09/05","trenton","ON",44.1,-77.4,1,NA
"233",233,"05/09/05","Alexandria Bay","NY",44.3,-75.9,1,NA
"234",234,"05/09/05","Amherst Junction","WI",44.5,-89.3,1,NA
"235",235,"05/09/05","Brule","WI",46.5,-91.6,1,NA
"236",236,"05/09/05","Cavan","ON",44.1,-78.3,1,NA
"237",237,"05/09/05","Pittsford","NY",43.1,-77.5,1,NA
"238",238,"05/09/05","Bay  City","MI",43.6,-83.9,1,NA
"239",239,"05/09/05","Putnam Station","NY",43.8,-73.4,1,NA
"240",240,"05/09/05","Utopia","ON",44.2,-79.5,1,NA
"241",241,"05/09/05","Gulliver","MI",46.1,-86,1,NA
"242",242,"05/09/05","Oakville","ON",43.3,-79.4,1,NA
"243",243,"05/09/05","Fort Erie","ON",42.5,-78.6,1,NA
"244",244,"05/09/05","Union Pier","MI",41.8,-86.7,1,NA
"245",245,"05/09/05","Hoagland","IN",40.9,-85,1,NA
"246",246,"05/09/05","Bracebridge","ON",45,-79.2,1,NA
"247",247,"05/09/05","Waverly","NY",42,-76.5,1,NA
"248",248,"05/09/05","Skowhegan","ME",44.8,-69.7,1,NA
"249",249,"05/09/05","Makinen","MN",47.3,-92.3,1,NA
"250",250,"05/09/05","Marquette","MI",46.5,-87.4,1,NA
"251",251,"05/09/05","Negaunee","MI",46.5,-87.6,1,NA
"252",252,"05/09/05","Blissfield","MI",41.8,-83.9,1,NA
"253",253,"05/09/05","Montague","MI",43.4,-86.4,1,NA
"254",254,"05/09/05","Phillips","ME",44.8,-70.4,1,NA
"255",255,"05/09/05","Moravia","NY",42.8,-76.4,1,NA
"256",256,"05/09/05","Pefferlaw","ON",44.2,-79.1,1,NA
"257",257,"05/09/05","Saint Ignace","MI",46,-84.7,1,NA
"258",258,"05/09/05","Bracebridge","ON",45,-79.2,1,NA
"259",259,"05/09/05","Otsego","MI",42.5,-85.7,1,NA
"260",260,"05/09/05","Gravenhurst","ON",44.6,-79.2,1,NA
"261",261,"05/09/05","East Amherst","NY",43,-78.7,1,NA
"262",262,"05/09/05","Pickering","ON",43.5,-79.1,1,NA
"263",263,"05/09/05","South Glens Falls","NY",43.3,-73.6,1,NA
"264",264,"05/09/05","Holland","MI",42.7,-86.1,1,NA
"265",265,"05/09/05","Baileyville","ME",45.2,-67.4,1,NA
"266",266,"05/09/05","Uxbridge","ON",44.1,-79.1,1,NA
"267",267,"05/09/05","Cookstown","ON",44.1,-79.4,1,NA
"268",268,"05/09/05","Burlington","ON",43.2,-79.5,1,NA
"269",269,"05/09/05","Petoskey","MI",45.3,-84.9,1,NA
"270",270,"05/09/05","Mono Mills","ON",43.6,-79.6,1,NA
"271",271,"05/09/05","Freeland","MI",43.5,-84.2,1,NA
"272",272,"05/09/05","Honeoye Falls","NY",43,-77.6,1,NA
"273",273,"05/09/05","East Tawas","MI",44.4,-83.5,1,NA
"274",274,"05/09/05","Waterloo","ON",43.3,-80.3,1,NA
"275",275,"05/09/05","Marquette","MI",46.5,-87.4,1,NA
"276",276,"05/09/05","West Des Moines","IA",41.6,-93.7,1,NA
"277",277,"05/09/05","Three Lakes","WI",45.8,-89.1,1,NA
"278",278,"05/09/05","Steep Falls","ME",43.8,-70.6,1,NA
"279",279,"05/09/05","North Sioux City","SD",42.5,-96.5,1,NA
"280",280,"05/09/05","Iron River","MI",46.2,-88.8,1,NA
"281",281,"05/09/05","West Winfield","NY",42.9,-75.2,1,NA
"282",282,"05/09/05","Trenton","ON",44.1,-77.4,1,NA
"283",283,"05/09/05","Durham","ON",44.1,-80.5,1,NA
"284",284,"05/09/05","Frankenmuth","MI",43.4,-83.7,1,NA
"285",285,"05/09/05","Gaylord","MI",45,-84.7,1,NA
"286",286,"05/09/05","East Benton","ME",44.6,-69.5,1,NA
"287",287,"05/09/05","Hamilton","ON",43.2,-79.5,1,NA
"288",288,"05/09/05","Barrie","ON",44.2,-79.4,1,NA
"289",289,"05/09/05","Ogilvie","MN",45.9,-93.5,1,NA
"290",290,"05/08/05","Traverse city","MI",44.8,-85.7,1,NA
"291",291,"05/08/05","apple river","IL",42.5,-90.1,1,NA
"292",292,"05/08/05","Escanaba","MI",45.8,-87.2,1,NA
"293",293,"05/08/05","Clearwater","MN",45.4,-94,1,NA
"294",294,"05/08/05","Milwaukee","WI",43,-87.9,1,NA
"295",295,"05/08/05","Wallace","MI",45.3,-87.6,1,NA
"296",296,"05/08/05","Paw Paw","MI",42.2,-85.9,1,NA
"297",297,"05/08/05","Whitewater","WI",42.8,-88.7,1,NA
"298",298,"05/08/05","Casco","MI",42.8,-82.7,1,NA
"299",299,"05/08/05","North Bay","ON",46.2,-79.3,1,NA
"300",300,"05/08/05","Pelee Island","ON",41.5,-82.4,1,NA
"301",301,"05/08/05","Fredonia","NY",42.4,-79.3,1,NA
"302",302,"05/08/05","Braidwood","IL",41.2,-88.2,1,NA
"303",303,"05/08/05","Minocqua","WI",45.9,-89.9,1,NA
"304",304,"05/08/05","Harper","KS",37.3,-98,1,NA
"305",305,"05/08/05","Cornish","ME",43.8,-70.8,1,NA
"306",306,"05/08/05","Boulder Junction","WI",46.1,-89.6,1,NA
"307",307,"05/08/05","Nisswa","MN",46.5,-94.3,1,NA
"308",308,"05/08/05","Niles","MI",41.8,-86.2,1,NA
"309",309,"05/08/05","Windsor","NY",42.1,-75.6,1,NA
"310",310,"05/08/05","Port Perry","ON",44.1,-78.6,1,NA
"311",311,"05/08/05","Prior Lake","MN",44.7,-93.4,1,NA
"312",312,"05/08/05","Karlin","MI",44.6,-85.8,1,NA
"313",313,"05/08/05","East Aurora","NY",42.8,-78.6,1,NA
"314",314,"05/08/05","Stone Lake","WI",45.8,-91.5,1,NA
"315",315,"05/08/05","Pelican Lake","WI",45.5,-89.2,1,NA
"316",316,"05/08/05","Prince Edward Point","ON",43.5,-76.5,1,NA
"317",317,"05/08/05","Brutus","MI",45.5,-84.7,1,NA
"318",318,"05/08/05","Belleville","MI",42.2,-83.5,1,NA
"319",319,"05/07/05","Cedar Falls","IA",42.5,-92.5,1,NA
"320",320,"05/07/05","corpus christi","TX",27.8,-97.4,1,NA
"321",321,"05/07/05","Williamsburg","MI",44.8,-85.4,1,NA
"322",322,"05/07/05","Plainwell","MI",42.5,-85.6,1,NA
"323",323,"05/07/05","Grant","MN",45.1,-92.9,1,NA
"324",324,"05/07/05","Canton","MI",42.3,-83.5,1,NA
"325",325,"05/07/05","Kalamazoo","MI",42.2,-85.5,1,NA
"326",326,"05/07/05","East Jordan","MI",45.1,-85.1,1,NA
"327",327,"05/07/05","Frederic","WI",45.7,-92.4,1,NA
"328",328,"05/07/05","Reese","MI",43.5,-83.7,1,NA
"329",329,"05/07/05","Alexandria","MN",45.9,-95.4,1,NA
"330",330,"05/07/05","St-Donat QuÈbec","QC",46.3,-74.2,1,NA
"331",331,"05/07/05","New Brunswick","ON",49.1,-83.4,1,NA
"332",332,"05/07/05","Belleville","MI",42.2,-83.5,1,NA
"333",333,"05/07/05","Hewitt","NJ",41.2,-74.4,1,NA
"334",334,"05/07/05","Brighton","ON",44,-77.4,1,NA
"335",335,"05/07/05","Hamilton","IA",41.2,-92.9,1,NA
"336",336,"05/06/05","Fishkill","NY",41.5,-73.9,1,NA
"337",337,"05/06/05","West Bend","WI",43.4,-88.2,1,NA
"338",338,"05/06/05","Coudersport","PA",41.8,-78,1,NA
"339",339,"05/06/05","Dryden","MI",42.9,-83.2,1,NA
"340",340,"05/06/05","Quispamsis","NB",45.3,-65.6,1,NA
"341",341,"05/06/05","North Reading","MA",42.6,-71.1,1,NA
"342",342,"05/06/05","Shokan","NY",42,-74.2,1,NA
"343",343,"05/06/05","Clear Spring","MD",39.7,-77.9,1,NA
"344",344,"05/06/05","Hassan","MN",45.2,-93.6,1,NA
"345",345,"05/06/05","La Crosse","WI",43.8,-91.2,1,NA
"346",346,"05/06/05","Lake City","MN",44.4,-92.3,1,NA
"347",347,"05/06/05","MontrÈal","QC",45.3,-73.4,1,NA
"348",348,"05/06/05","MontrÈal","QC",45.3,-73.4,1,NA
"349",349,"05/06/05","Kendall","WI",43.8,-90.4,1,NA
"350",350,"05/06/05","Inver Grove Heights","MN",44.8,-93,1,NA
"351",351,"05/06/05","Delhi","IA",42.4,-91.2,1,NA
"352",352,"05/06/05","Perrysburg","NY",42.5,-79,1,NA
"353",353,"05/06/05","St. Joseph","MI",42.1,-86.5,1,NA
"354",354,"05/06/05","Alborn","MN",47,-92.6,1,NA
"355",355,"05/06/05","Park Falls","WI",46,-90.3,1,NA
"356",356,"05/06/05","Belle Plaine","MN",44.6,-93.7,1,NA
"357",357,"05/06/05","E. Concord","NY",42.5,-78.7,1,NA
"358",358,"05/06/05","Presque Isle","MI",45.3,-83.5,1,NA
"359",359,"05/06/05","Greenville","MI",43.2,-85.2,1,NA
"360",360,"05/06/05","River Falls","WI",44.9,-92.6,1,NA
"361",361,"05/06/05","Nebraska City","NE",40.7,-95.9,1,NA
"362",362,"05/06/05","Nahma","MI",46,-86.7,1,NA
"363",363,"05/06/05","Fredonia","NY",42.4,-79.3,1,NA
"364",364,"05/06/05","St. Peter","MN",44.3,-94,1,NA
"365",365,"05/06/05","Esperance","NY",42.8,-74.3,1,NA
"366",366,"05/06/05","Ogdensburg","NY",44.7,-75.5,1,NA
"367",367,"05/06/05","Sturgeon Bay","WI",44.9,-87.4,1,NA
"368",368,"05/06/05","Saint Mathieu du Parc","QC",46.6,-72.9,1,NA
"369",369,"05/05/05","Plum Borough","PA",40.5,-79.7,1,NA
"370",370,"05/05/05","Knightstown","IN",39.8,-85.5,1,NA
"371",371,"05/05/05","Brandon","SD",43.6,-96.6,1,NA
"372",372,"05/05/05","Excelsior","MN",44.9,-93.6,1,NA
"373",373,"05/05/05","Milaca","MN",45.8,-93.6,1,NA
"374",374,"05/05/05","south fork","CO",37.7,-106.6,1,NA
"375",375,"05/05/05","East Aurora","NY",42.8,-78.6,1,NA
"376",376,"05/05/05","Melrose","WI",44.1,-91.1,1,NA
"377",377,"05/05/05","Gleason","WI",45.4,-89.5,1,NA
"378",378,"05/05/05","Dubuque","IA",42.5,-90.7,1,NA
"379",379,"05/05/05","Zimmerman","MN",45.5,-93.6,1,NA
"380",380,"05/05/05","Shawnee","KS",39,-94.8,1,NA
"381",381,"05/05/05","Stormville","NY",41.5,-73.7,1,NA
"382",382,"05/05/05","Fairbury","NE",40.2,-97.2,1,NA
"383",383,"05/05/05","Grand Junction","MI",42.4,-86.1,1,NA
"384",384,"05/05/05","Milford","MI",42.6,-83.6,1,NA
"385",385,"05/05/05","Excelsior","MN",44.9,-93.6,1,NA
"386",386,"05/05/05","Fremont","NE",41.5,-96.5,1,NA
"387",387,"05/05/05","Bloomfield","IA",40.7,-92.4,1,NA
"388",388,"05/05/05","Adel","IA",41.7,-94.1,1,NA
"389",389,"05/05/05","Nevada","IA",42,-93.4,1,NA
"390",390,"05/05/05","McGregor","IA",43,-91.2,1,NA
"391",391,"05/05/05","Wixom","MI",42.5,-83.5,1,NA
"392",392,"05/05/05","Clear Lake","WI",45.2,-92.3,1,NA
"393",393,"05/05/05","Madrid","IA",41.9,-93.9,1,NA
"394",394,"05/05/05","Alma","MI",43.4,-84.7,1,NA
"395",395,"05/05/05","Reinbeck","IA",42.3,-92.6,1,NA
"396",396,"05/05/05","Great Neck","NY",40.8,-73.7,1,NA
"397",397,"05/05/05","Eden Prairie","MN",44.9,-93.4,1,NA
"398",398,"05/05/05","Grand Rapids","MI",43,-85.7,1,NA
"399",399,"05/05/05","Chatfield","MN",43.8,-92.1,1,NA
"400",400,"05/05/05","Webster","SD",45.3,-97.5,1,NA
